,collection_date,geo_loc_name,isolation_source,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,ww_surv_target_1,ww_surv_target_1_known_present,collected_by,BioSampleModel,experiment_id,SRA_id,purpose_of_ww_sampling,purpose_of_ww_sequencing,sequenced_by,ww_industrial_effluent_percent,ww_population_source,ww_pre_treatment,ww_primary_sludge_retention_time,ww_processing_protocol,ww_sample_site,ww_surv_target_1_conc,ww_surv_target_1_conc_unit,ww_surv_target_1_gene,ww_surv_target_1_protocol,ww_surv_target_2,ww_surv_target_2_conc,ww_surv_target_2_conc_unit,ww_surv_target_2_gene,ww_surv_target_2_known_present
SRR23882189,2021-12-08,Australia:Queensland,wastewater,NA,24,raw wastewater,composite,SARS-CoV-2,yes,31,SARS-CoV-2: wastewater surveillance,SRR23882189,SRX19694213,,,,,,,,,,,,,,,,,,
SRR23882190,2021-12-08,Australia:Queensland,wastewater,NA,24,raw wastewater,composite,SARS-CoV-2,yes,32,SARS-CoV-2: wastewater surveillance,SRR23882190,SRX19694212,,,,,,,,,,,,,,,,,,
SRR23882164,2021-12-06,Australia:Queensland,wastewater,NA,24,raw wastewater,composite,SARS-CoV-2,yes,30,SARS-CoV-2: wastewater surveillance,SRR23882164,SRX19694238,,,,,,,,,,,,,,,,,,
SRR23882196,2021-12-01,Australia:Queensland,wastewater,NA,24,raw wastewater,composite,SARS-CoV-2,yes,28,SARS-CoV-2: wastewater surveillance,SRR23882196,SRX19694206,,,,,,,,,,,,,,,,,,
SRR23882195,2021-12-01,Australia:Queensland,wastewater,NA,24,raw wastewater,composite,SARS-CoV-2,yes,29,SARS-CoV-2: wastewater surveillance,SRR23882195,SRX19694207,,,,,,,,,,,,,,,,,,
SRR23882197,2021-11-29,Australia:Queensland,wastewater,NA,24,raw wastewater,composite,SARS-CoV-2,yes,27,SARS-CoV-2: wastewater surveillance,SRR23882197,SRX19694205,,,,,,,,,,,,,,,,,,
SRR17238185,2021-11-25,Australia: Darwin,aircraft wastewater,300,0,raw wastewater,grab,SARS-CoV-2,yes,CSIRO Australia,SARS-CoV-2: wastewater surveillance,SRR17238185,SRX13417274,public health surveillance building-level,confirmation of Omicron VOC presence,MGI Australia,0,onboard passengers,none,flight duration,ultrafiltration with CP Select,airplane,400 GC/mL,400000,CDC N1,https://doi.org/10.1016/j.envint.2021.106938,SARS-CoV-2,252 GC/mL,252000,CDC N2,yes
SRR23882198,2021-11-18,Australia:Queensland,wastewater,NA,24,raw wastewater,composite,SARS-CoV-2,yes,26,SARS-CoV-2: wastewater surveillance,SRR23882198,SRX19694204,,,,,,,,,,,,,,,,,,
SRR23882199,2021-07-12,Australia:Queensland,wastewater,NA,24,raw wastewater,composite,SARS-CoV-2,yes,25,SARS-CoV-2: wastewater surveillance,SRR23882199,SRX19694203,,,,,,,,,,,,,,,,,,
SRR23882200,2021-06-28,Australia:Queensland,wastewater,NA,24,raw wastewater,composite,SARS-CoV-2,yes,24,SARS-CoV-2: wastewater surveillance,SRR23882200,SRX19694202,,,,,,,,,,,,,,,,,,
SRR17088653,2021-06-01,Australia,environmental-3,100000,24,raw wastewater,grab,SARS-CoV-2,no,,SARS-CoV-2: wastewater surveillance,SRR17088653,SRX13276613,,,,,,,,,,,,,,,,,,
SRR17088650,2021-06-01,Australia,environmental-6,100000,24,raw wastewater,grab,SARS-CoV-2,no,,SARS-CoV-2: wastewater surveillance,SRR17088650,SRX13276616,,,,,,,,,,,,,,,,,,
SRR17088647,2021-06-01,Australia,environmental-9,100000,24,raw wastewater,grab,SARS-CoV-2,no,,SARS-CoV-2: wastewater surveillance,SRR17088647,SRX13276619,,,,,,,,,,,,,,,,,,
SRR17088651,2021-06-01,Australia,environmental-5,100000,24,raw wastewater,grab,SARS-CoV-2,no,,SARS-CoV-2: wastewater surveillance,SRR17088651,SRX13276615,,,,,,,,,,,,,,,,,,
SRR17088648,2021-06-01,Australia,environmental-8,100000,24,raw wastewater,grab,SARS-CoV-2,no,,SARS-CoV-2: wastewater surveillance,SRR17088648,SRX13276618,,,,,,,,,,,,,,,,,,
SRR17088649,2021-06-01,Australia,environmental-7,100000,24,raw wastewater,grab,SARS-CoV-2,no,,SARS-CoV-2: wastewater surveillance,SRR17088649,SRX13276617,,,,,,,,,,,,,,,,,,
SRR17088652,2021-06-01,Australia,environmental-4,100000,24,raw wastewater,grab,SARS-CoV-2,no,,SARS-CoV-2: wastewater surveillance,SRR17088652,SRX13276614,,,,,,,,,,,,,,,,,,
SRR17088655,2021-06-01,Australia,environmental-1,100000,24,raw wastewater,grab,SARS-CoV-2,no,,SARS-CoV-2: wastewater surveillance,SRR17088655,SRX13276611,,,,,,,,,,,,,,,,,,
SRR17088654,2021-06-01,Australia,environmental-2,100000,24,raw wastewater,grab,SARS-CoV-2,no,,SARS-CoV-2: wastewater surveillance,SRR17088654,SRX13276612,,,,,,,,,,,,,,,,,,
SRR23882201,2021-05-31,Australia:Queensland,wastewater,NA,24,raw wastewater,composite,SARS-CoV-2,yes,23,SARS-CoV-2: wastewater surveillance,SRR23882201,SRX19694201,,,,,,,,,,,,,,,,,,
SRR23882202,2021-04-01,Australia:Queensland,wastewater,NA,24,raw wastewater,composite,SARS-CoV-2,yes,22,SARS-CoV-2: wastewater surveillance,SRR23882202,SRX19694200,,,,,,,,,,,,,,,,,,
SRR23882203,2021-03-29,Australia:Queensland,wastewater,NA,24,raw wastewater,composite,SARS-CoV-2,yes,21,SARS-CoV-2: wastewater surveillance,SRR23882203,SRX19694199,,,,,,,,,,,,,,,,,,
SRR23882205,2021-02-09,Australia:Queensland,wastewater,NA,24,raw wastewater,composite,SARS-CoV-2,yes,20,SARS-CoV-2: wastewater surveillance,SRR23882205,SRX19694197,,,,,,,,,,,,,,,,,,
SRR23882206,2021-02-03,Australia:Queensland,wastewater,NA,24,raw wastewater,composite,SARS-CoV-2,yes,19,SARS-CoV-2: wastewater surveillance,SRR23882206,SRX19694196,,,,,,,,,,,,,,,,,,
SRR23882207,2021-02-02,Australia:Queensland,wastewater,NA,24,raw wastewater,composite,SARS-CoV-2,yes,18,SARS-CoV-2: wastewater surveillance,SRR23882207,SRX19694195,,,,,,,,,,,,,,,,,,
SRR23882208,2021-02-01,Australia:Queensland,wastewater,NA,24,raw wastewater,composite,SARS-CoV-2,yes,17,SARS-CoV-2: wastewater surveillance,SRR23882208,SRX19694194,,,,,,,,,,,,,,,,,,
SRR23882209,2021-01-25,Australia:Queensland,wastewater,NA,24,raw wastewater,composite,SARS-CoV-2,yes,16,SARS-CoV-2: wastewater surveillance,SRR23882209,SRX19694193,,,,,,,,,,,,,,,,,,
SRR23882210,2021-01-20,Australia:Queensland,wastewater,NA,24,raw wastewater,composite,SARS-CoV-2,yes,15,SARS-CoV-2: wastewater surveillance,SRR23882210,SRX19694192,,,,,,,,,,,,,,,,,,
SRR23882211,2021-01-12,Australia:Queensland,wastewater,NA,24,raw wastewater,composite,SARS-CoV-2,yes,14,SARS-CoV-2: wastewater surveillance,SRR23882211,SRX19694191,,,,,,,,,,,,,,,,,,
SRR23882253,2021-01-12,Australia:Queensland,wastewater,NA,24,raw wastewater,composite,SARS-CoV-2,yes,13,SARS-CoV-2: wastewater surveillance,SRR23882253,SRX19694149,,,,,,,,,,,,,,,,,,
SRR23882264,2021-01-10,Australia:Queensland,wastewater,NA,24,raw wastewater,composite,SARS-CoV-2,yes,12,SARS-CoV-2: wastewater surveillance,SRR23882264,SRX19694138,,,,,,,,,,,,,,,,,,
SRR18761755,2021-01-01,Australia:Brisbane,Artificial,NA,0,not provided,not provided,SARS-CoV-25,yes,,SARS-CoV-2: wastewater surveillance,SRR18761755,SRX14861204,,,,,,,,,,,,,,,,,,
SRR18761743,2021-01-01,Australia:Brisbane,Artificial,NA,0,not provided,not provided,SARS-CoV-52,yes,,SARS-CoV-2: wastewater surveillance,SRR18761743,SRX14861216,,,,,,,,,,,,,,,,,,
SRR18761744,2021-01-01,Australia:Brisbane,Artificial,NA,0,not provided,not provided,SARS-CoV-47,yes,,SARS-CoV-2: wastewater surveillance,SRR18761744,SRX14861215,,,,,,,,,,,,,,,,,,
SRR18761745,2021-01-01,Australia:Brisbane,Artificial,NA,0,not provided,not provided,SARS-CoV-46,yes,,SARS-CoV-2: wastewater surveillance,SRR18761745,SRX14861214,,,,,,,,,,,,,,,,,,
SRR18761746,2021-01-01,Australia:Brisbane,Artificial,NA,0,not provided,not provided,SARS-CoV-28,yes,,SARS-CoV-2: wastewater surveillance,SRR18761746,SRX14861213,,,,,,,,,,,,,,,,,,
SRR18761747,2021-01-01,Australia:Brisbane,Artificial,NA,0,not provided,not provided,SARS-CoV-45,yes,,SARS-CoV-2: wastewater surveillance,SRR18761747,SRX14861212,,,,,,,,,,,,,,,,,,
SRR18761748,2021-01-01,Australia:Brisbane,Artificial,NA,0,not provided,not provided,SARS-CoV-40,yes,,SARS-CoV-2: wastewater surveillance,SRR18761748,SRX14861211,,,,,,,,,,,,,,,,,,
SRR18761749,2021-01-01,Australia:Brisbane,Artificial,NA,0,not provided,not provided,SARS-CoV-39,yes,,SARS-CoV-2: wastewater surveillance,SRR18761749,SRX14861210,,,,,,,,,,,,,,,,,,
SRR18761742,2021-01-01,Australia:Brisbane,Artificial,NA,0,not provided,not provided,SARS-CoV-53,yes,,SARS-CoV-2: wastewater surveillance,SRR18761742,SRX14861217,,,,,,,,,,,,,,,,,,
SRR18761750,2021-01-01,Australia:Brisbane,Artificial,NA,0,not provided,not provided,SARS-CoV-38,yes,,SARS-CoV-2: wastewater surveillance,SRR18761750,SRX14861209,,,,,,,,,,,,,,,,,,
SRR18761751,2021-01-01,Australia:Brisbane,Artificial,NA,0,not provided,not provided,SARS-CoV-33,yes,,SARS-CoV-2: wastewater surveillance,SRR18761751,SRX14861208,,,,,,,,,,,,,,,,,,
SRR18761752,2021-01-01,Australia:Brisbane,Artificial,NA,0,not provided,not provided,SARS-CoV-32,yes,,SARS-CoV-2: wastewater surveillance,SRR18761752,SRX14861207,,,,,,,,,,,,,,,,,,
SRR18761753,2021-01-01,Australia:Brisbane,Artificial,NA,0,not provided,not provided,SARS-CoV-31,yes,,SARS-CoV-2: wastewater surveillance,SRR18761753,SRX14861206,,,,,,,,,,,,,,,,,,
SRR18761754,2021-01-01,Australia:Brisbane,Artificial,NA,0,not provided,not provided,SARS-CoV-26,yes,,SARS-CoV-2: wastewater surveillance,SRR18761754,SRX14861205,,,,,,,,,,,,,,,,,,
SRR18761762,2021-01-01,Australia:Brisbane,Artificial,NA,0,not provided,not provided,SARS-CoV-37,yes,,SARS-CoV-2: wastewater surveillance,SRR18761762,SRX14861197,,,,,,,,,,,,,,,,,,
SRR18761756,2021-01-01,Australia:Brisbane,Artificial,NA,0,not provided,not provided,SARS-CoV-24,yes,,SARS-CoV-2: wastewater surveillance,SRR18761756,SRX14861203,,,,,,,,,,,,,,,,,,
SRR18761757,2021-01-01,Australia:Brisbane,Artificial,NA,0,not provided,not provided,SARS-CoV-27,yes,,SARS-CoV-2: wastewater surveillance,SRR18761757,SRX14861202,,,,,,,,,,,,,,,,,,
SRR18761758,2021-01-01,Australia:Brisbane,Artificial,NA,0,not provided,not provided,SARS-CoV-51,yes,,SARS-CoV-2: wastewater surveillance,SRR18761758,SRX14861201,,,,,,,,,,,,,,,,,,
SRR18761759,2021-01-01,Australia:Brisbane,Artificial,NA,0,not provided,not provided,SARS-CoV-50,yes,,SARS-CoV-2: wastewater surveillance,SRR18761759,SRX14861200,,,,,,,,,,,,,,,,,,
SRR18761760,2021-01-01,Australia:Brisbane,Artificial,NA,0,not provided,not provided,SARS-CoV-44,yes,,SARS-CoV-2: wastewater surveillance,SRR18761760,SRX14861199,,,,,,,,,,,,,,,,,,
SRR18761761,2021-01-01,Australia:Brisbane,Artificial,NA,0,not provided,not provided,SARS-CoV-43,yes,,SARS-CoV-2: wastewater surveillance,SRR18761761,SRX14861198,,,,,,,,,,,,,,,,,,
SRR18761763,2021-01-01,Australia:Brisbane,Artificial,NA,0,not provided,not provided,SARS-CoV-36,yes,,SARS-CoV-2: wastewater surveillance,SRR18761763,SRX14861196,,,,,,,,,,,,,,,,,,
SRR18761764,2021-01-01,Australia:Brisbane,Artificial,NA,0,not provided,not provided,SARS-CoV-30,yes,,SARS-CoV-2: wastewater surveillance,SRR18761764,SRX14861195,,,,,,,,,,,,,,,,,,
SRR18761765,2021-01-01,Australia:Brisbane,Artificial,NA,0,not provided,not provided,SARS-CoV-29,yes,,SARS-CoV-2: wastewater surveillance,SRR18761765,SRX14861194,,,,,,,,,,,,,,,,,,
SRR18761766,2021-01-01,Australia:Brisbane,Artificial,NA,0,not provided,not provided,SARS-CoV-23,yes,,SARS-CoV-2: wastewater surveillance,SRR18761766,SRX14861193,,,,,,,,,,,,,,,,,,
SRR18761767,2021-01-01,Australia:Brisbane,Artificial,NA,0,not provided,not provided,SARS-CoV-22,yes,,SARS-CoV-2: wastewater surveillance,SRR18761767,SRX14861192,,,,,,,,,,,,,,,,,,
SRR18761768,2021-01-01,Australia:Brisbane,Artificial,NA,0,not provided,not provided,SARS-CoV-21,yes,,SARS-CoV-2: wastewater surveillance,SRR18761768,SRX14861191,,,,,,,,,,,,,,,,,,
SRR18761769,2021-01-01,Australia:Brisbane,Artificial,NA,0,not provided,not provided,SARS-CoV-20,yes,,SARS-CoV-2: wastewater surveillance,SRR18761769,SRX14861190,,,,,,,,,,,,,,,,,,
SRR18761740,2021-01-01,Australia:Brisbane,wastewater,NA,24,raw wastewater,composite,SARS-CoV-2,yes,,SARS-CoV-2: wastewater surveillance,SRR18761740,SRX14861219,,,,,,,,,,,,,,,,,,
SRR18761741,2021-01-01,Australia:Brisbane,Artificial,NA,0,not provided,not provided,SARS-CoV-54,yes,,SARS-CoV-2: wastewater surveillance,SRR18761741,SRX14861218,,,,,,,,,,,,,,,,,,
SRR18761724,2021-01-01,Australia:Brisbane,Artificial,NA,0,not provided,not provided,SARS-CoV-35,yes,,SARS-CoV-2: wastewater surveillance,SRR18761724,SRX14861235,,,,,,,,,,,,,,,,,,
SRR18761739,2021-01-01,Australia:Brisbane,wastewater,NA,24,raw wastewater,composite,SARS-CoV-3,yes,,SARS-CoV-2: wastewater surveillance,SRR18761739,SRX14861220,,,,,,,,,,,,,,,,,,
SRR18761723,2021-01-01,Australia:Brisbane,wastewater,NA,24,raw wastewater,composite,SARS-CoV-17,yes,,SARS-CoV-2: wastewater surveillance,SRR18761723,SRX14861236,,,,,,,,,,,,,,,,,,
SRR18906786,2021-01-01,Australia:Brisbane,sewage,NA,0,raw wastewater,missing,SARS-CoV-7,yes,,SARS-CoV-2: wastewater surveillance,SRR18906786,SRX14984887,,,,,,,,,,,,,,,,,,
SRR18906787,2021-01-01,Australia:Brisbane,sewage,NA,0,raw wastewater,missing,SARS-CoV-6,yes,,SARS-CoV-2: wastewater surveillance,SRR18906787,SRX14984886,,,,,,,,,,,,,,,,,,
SRR18906788,2021-01-01,Australia:Brisbane,sewage,NA,0,raw wastewater,missing,SARS-CoV-5,yes,,SARS-CoV-2: wastewater surveillance,SRR18906788,SRX14984885,,,,,,,,,,,,,,,,,,
SRR18906789,2021-01-01,Australia:Brisbane,sewage,NA,0,raw wastewater,missing,SARS-CoV-4,yes,,SARS-CoV-2: wastewater surveillance,SRR18906789,SRX14984884,,,,,,,,,,,,,,,,,,
SRR18906790,2021-01-01,Australia:Brisbane,sewage,NA,0,raw wastewater,missing,SARS-CoV-3,yes,,SARS-CoV-2: wastewater surveillance,SRR18906790,SRX14984883,,,,,,,,,,,,,,,,,,
SRR18906791,2021-01-01,Australia:Brisbane,sewage,NA,0,raw wastewater,missing,SARS-CoV-2,yes,,SARS-CoV-2: wastewater surveillance,SRR18906791,SRX14984882,,,,,,,,,,,,,,,,,,
SRR18761717,2021-01-01,Australia:Brisbane,Artificial,NA,0,not provided,not provided,SARS-CoV-49,yes,,SARS-CoV-2: wastewater surveillance,SRR18761717,SRX14861242,,,,,,,,,,,,,,,,,,
SRR18761718,2021-01-01,Australia:Brisbane,Artificial,NA,0,not provided,not provided,SARS-CoV-48,yes,,SARS-CoV-2: wastewater surveillance,SRR18761718,SRX14861241,,,,,,,,,,,,,,,,,,
SRR18761719,2021-01-01,Australia:Brisbane,Artificial,NA,0,not provided,not provided,SARS-CoV-42,yes,,SARS-CoV-2: wastewater surveillance,SRR18761719,SRX14861240,,,,,,,,,,,,,,,,,,
SRR18761738,2021-01-01,Australia:Brisbane,wastewater,NA,24,raw wastewater,composite,SARS-CoV-4,yes,,SARS-CoV-2: wastewater surveillance,SRR18761738,SRX14861221,,,,,,,,,,,,,,,,,,
SRR18761721,2021-01-01,Australia:Brisbane,wastewater,NA,24,raw wastewater,composite,SARS-CoV-19,yes,,SARS-CoV-2: wastewater surveillance,SRR18761721,SRX14861238,,,,,,,,,,,,,,,,,,
SRR18761722,2021-01-01,Australia:Brisbane,wastewater,NA,24,raw wastewater,composite,SARS-CoV-18,yes,,SARS-CoV-2: wastewater surveillance,SRR18761722,SRX14861237,,,,,,,,,,,,,,,,,,
SRR18761720,2021-01-01,Australia:Brisbane,Artificial,NA,0,not provided,not provided,SARS-CoV-41,yes,,SARS-CoV-2: wastewater surveillance,SRR18761720,SRX14861239,,,,,,,,,,,,,,,,,,
SRR18761736,2021-01-01,Australia:Brisbane,wastewater,NA,24,raw wastewater,composite,SARS-CoV-6,yes,,SARS-CoV-2: wastewater surveillance,SRR18761736,SRX14861223,,,,,,,,,,,,,,,,,,
SRR18761726,2021-01-01,Australia:Brisbane,wastewater,NA,24,raw wastewater,composite,SARS-CoV-15,yes,,SARS-CoV-2: wastewater surveillance,SRR18761726,SRX14861233,,,,,,,,,,,,,,,,,,
SRR18761727,2021-01-01,Australia:Brisbane,wastewater,NA,24,raw wastewater,composite,SARS-CoV-14,yes,,SARS-CoV-2: wastewater surveillance,SRR18761727,SRX14861232,,,,,,,,,,,,,,,,,,
SRR18761728,2021-01-01,Australia:Brisbane,wastewater,NA,24,raw wastewater,composite,SARS-CoV-13,yes,,SARS-CoV-2: wastewater surveillance,SRR18761728,SRX14861231,,,,,,,,,,,,,,,,,,
SRR18761729,2021-01-01,Australia:Brisbane,wastewater,NA,24,raw wastewater,composite,SARS-CoV-12,yes,,SARS-CoV-2: wastewater surveillance,SRR18761729,SRX14861230,,,,,,,,,,,,,,,,,,
SRR18761730,2021-01-01,Australia:Brisbane,wastewater,NA,24,raw wastewater,composite,SARS-CoV-11,yes,,SARS-CoV-2: wastewater surveillance,SRR18761730,SRX14861229,,,,,,,,,,,,,,,,,,
SRR18761731,2021-01-01,Australia:Brisbane,wastewater,NA,24,raw wastewater,composite,SARS-CoV-10,yes,,SARS-CoV-2: wastewater surveillance,SRR18761731,SRX14861228,,,,,,,,,,,,,,,,,,
SRR18761732,2021-01-01,Australia:Brisbane,wastewater,NA,24,raw wastewater,composite,SARS-CoV-9,yes,,SARS-CoV-2: wastewater surveillance,SRR18761732,SRX14861227,,,,,,,,,,,,,,,,,,
SRR18761733,2021-01-01,Australia:Brisbane,wastewater,NA,24,raw wastewater,composite,SARS-CoV-8,yes,,SARS-CoV-2: wastewater surveillance,SRR18761733,SRX14861226,,,,,,,,,,,,,,,,,,
SRR18761734,2021-01-01,Australia:Brisbane,wastewater,NA,24,raw wastewater,composite,SARS-CoV-7,yes,,SARS-CoV-2: wastewater surveillance,SRR18761734,SRX14861225,,,,,,,,,,,,,,,,,,
SRR18761735,2021-01-01,Australia:Brisbane,Artificial,NA,0,not provided,not provided,SARS-CoV-34,yes,,SARS-CoV-2: wastewater surveillance,SRR18761735,SRX14861224,,,,,,,,,,,,,,,,,,
SRR18761725,2021-01-01,Australia:Brisbane,wastewater,NA,24,raw wastewater,composite,SARS-CoV-16,yes,,SARS-CoV-2: wastewater surveillance,SRR18761725,SRX14861234,,,,,,,,,,,,,,,,,,
SRR18761737,2021-01-01,Australia:Brisbane,wastewater,NA,24,raw wastewater,composite,SARS-CoV-5,yes,,SARS-CoV-2: wastewater surveillance,SRR18761737,SRX14861222,,,,,,,,,,,,,,,,,,
SRR23882275,2020-12-29,Australia:Queensland,wastewater,NA,24,raw wastewater,composite,SARS-CoV-2,yes,11,SARS-CoV-2: wastewater surveillance,SRR23882275,SRX19694127,,,,,,,,,,,,,,,,,,
SRR23882224,2020-12-24,Australia:Queensland,wastewater,NA,24,raw wastewater,composite,SARS-CoV-2,yes,10,SARS-CoV-2: wastewater surveillance,SRR23882224,SRX19694178,,,,,,,,,,,,,,,,,,
SRR23882235,2020-12-14,Australia:Queensland,wastewater,NA,24,raw wastewater,composite,SARS-CoV-2,yes,9,SARS-CoV-2: wastewater surveillance,SRR23882235,SRX19694167,,,,,,,,,,,,,,,,,,
SRR23882151,2020-09-09,Australia:Queensland,wastewater,NA,24,raw wastewater,composite,SARS-CoV-2,yes,8,SARS-CoV-2: wastewater surveillance,SRR23882151,SRX19694251,,,,,,,,,,,,,,,,,,
SRR23882162,2020-08-09,Australia:Queensland,wastewater,NA,24,raw wastewater,composite,SARS-CoV-2,yes,7,SARS-CoV-2: wastewater surveillance,SRR23882162,SRX19694240,,,,,,,,,,,,,,,,,,
SRR23882185,2020-08-06,Australia:Queensland,wastewater,NA,24,raw wastewater,composite,SARS-CoV-2,yes,6,SARS-CoV-2: wastewater surveillance,SRR23882185,SRX19694217,,,,,,,,,,,,,,,,,,
SRR23882174,2020-08-05,Australia:Queensland,wastewater,NA,24,raw wastewater,composite,SARS-CoV-2,yes,5,SARS-CoV-2: wastewater surveillance,SRR23882174,SRX19694228,,,,,,,,,,,,,,,,,,
SRR23882188,2020-08-05,Australia:Queensland,wastewater,NA,24,raw wastewater,composite,SARS-CoV-2,yes,4,SARS-CoV-2: wastewater surveillance,SRR23882188,SRX19694214,,,,,,,,,,,,,,,,,,
SRR23882276,2020-08-03,Australia:Queensland,wastewater,NA,24,raw wastewater,composite,SARS-CoV-2,yes,2,SARS-CoV-2: wastewater surveillance,SRR23882276,SRX19694126,,,,,,,,,,,,,,,,,,
SRR23882204,2020-08-03,Australia:Queensland,wastewater,NA,24,raw wastewater,composite,SARS-CoV-2,yes,3,SARS-CoV-2: wastewater surveillance,SRR23882204,SRX19694198,,,,,,,,,,,,,,,,,,
SRR23882277,2020-07-31,Australia:Queensland,wastewater,NA,24,raw wastewater,composite,SARS-CoV-2,yes,1,SARS-CoV-2: wastewater surveillance,SRR23882277,SRX19694125,,,,,,,,,,,,,,,,,,
